Kalimat #,text
12,warisan
12,turun
12,temurun
12,ada
12,lagi
12,cicinya
12,yang
12,buka
12,martabak
12,telur
12,di
12,sebelah
12,martabak
12,nikmat
12,andir
12,yang
12,saya
12,beli
12,sedangkan
12,ada
12,lagi
12,yang
12,menggunakan
12,merk
12,martabak
12,nikmat
12,andir
12,di
12,daerah
12,cibadak
12,lokasi
12,jl
12,jend
12,sudirman
12,no
12,415
12,andir
12,kota
12,bandung
12,jawa
12,barat
12,fasilitas
12,pembayaran
12,dapat
12,menggunakan
12,pay
13,whoa
13,pandan
13,martabak
13,is
13,the
13,best
14,oke
14,jadi
14,waktu
14,trip
14,family
14,ke
14,bandung
14,kita
14,jajal
14,dlu
14,yang
14,katanya
14,martabak
14,paling
14,enak
14,di
14,bandung
14,pesen
14,via
14,ojol
14,martabak
14,spesial
14,pandan
14,separo
14,keju
14,separo
14,coklat
14,kacang
14,tekstur
14,martabaknya
14,cukup
14,kenyal
14,empuk
14,tapi
14,masih
14,banyak
14,yg
14,lebih
14,empuk
14,kulitnya
14,berlubang
14,agak
14,gosong
14,topingnya
14,cukup
14,banyak
14,padet
14,untuk
14,aromanya
14,gk
14,berasa
14,sama
14,sekali
14,aroma
14,butternya
14,pdahal
14,pesen
14,yg
14,spesial
14,lebih
14,wangi
14,pandannya
14,di
14,jakarta
14,masih
14,banyak
14,yg
14,lebih
14,enak
15,very
15,tasty
15,martabak
15,we
15,ordered
15,nutella
15,with
15,additional
15,almond
15,the
15,nutella
15,was
15,superb
15,plus
15,crunchy
15,almond
15,enhance
15,everything
15,in
15,our
15,martabak
15,very
15,recommended
15,yes
15,it
15,is
15,a
15,bit
15,pricy
15,but
15,worth
15,the
15,taste
16,pesen
16,martabak
16,pandan
16,jagung
16,keju
16,rasanya
16,biasa
16,banget
16,reviewnya
16,berlebihan
16,sampe
16,blg
16,martabak
16,nya
16,enak
16,banget
16,banget
17,one
17,of
17,good
17,place
17,to
17,visit
17,when
17,you
17,want
17,to
17,have
17,martabak
17,manis
17,we
17,order
17,the
17,famous
17,one
17,which
17,is
17,the
17,martabak
17,pandan
17,jagung
17,keju
17,taste
17,superrbbb
17,might
17,got
17,long
17,queue
17,during
17,certain
17,period
18,follow
18,me
18,on
18,instagram
18,awakdoyankuliner
18,bistiknya
18,mantap
18,apalagi
18,nasinya
18,kyk
18,ada
18,butter
18,jadinya
18,makin
18,nikmat
18,escargots
18,favorit
18,banget
18,kalo
18,tiap
18,kesini
18,ginger
18,honey
18,beenya
18,seger
19,kacau
19,semua
19,makanan
19,disini
19,enak
19,enak
19,nggak
19,rugi
19,juga
19,sih
19,kalo
19,harus
19,waiting
19,list
19,dan
19,juga
19,ambience
19,nya
19,enak
19,buat
19,kumpul
19,sama
19,temen
19,servicenya
19,juga
19,oke
19,bgt
19,sayang
19,pas
19,kesana
19,ga
19,cobain
19,mille
19,crepes
19,nya
19,yg
19,katanya
19,enak
20,setiap
20,ke
20,bandung
20,pasti
20,sempetin
20,mampir
20,utk
20,lunchdinner
20,disini
20,karna
20,udh
20,pasti
20,makanannya
20,enak
20,mau
20,yg
20,asian
20,or
20,western
20,food
20,harganya
20,jg
20,oke
20,masi
20,standar
20,dan
20,tempatnya
20,cozy
20,buat
20,ngobrol
20,santai
21,it
21,was
21,okayyyyy
21,the
21,parking
21,lot
21,was
21,so
21,small
21,tho
21,salmon
21,mentaiko
21,pasta
21,was
21,very
21,delicious
21,its
21,the
21,best
21,menu
21,we
21,ordered
21,that
21,night
22,beli
22,omelette
22,sama
22,nasi
22,salmon
22,yg
22,dtg
22,cmn
22,omelette
22,nya
22,doang
22,mana
22,lama
22,bgt
22,lg
22,mau
22,beli
22,layered
22,cake
22,best
22,sellernya
22,kosong
22,not
22,coming
22,again
23,cozy
23,places
23,beautifully
23,decorated
23,and
23,the
23,food
23,i
23,ordered
23,was
23,delicious
23,try
23,their
23,classic
23,beef
23,burger
23,the
23,patty
23,is
23,juicy
23,and
23,the
23,egg
23,is
23,perfect
23,must
23,visit
24,wow
24,just
24,wow
24,kita
24,pesen
24,mushroom
24,rolls
24,untuk
24,“snack”
24,dan
24,rupanya
24,bukan
24,snack
24,tapi
24,fullmeal
24,dari
24,porsinya
24,selain
24,itu
24,salmon
24,belly
24,sama
24,thai
24,tea
24,mille
24,crepenya
24,itu
24,sempurna
24,yang
24,agak
24,kurang
24,ochazuke
24,nya
24,biasa
24,banget
24,sih
25,i
25,really
25,love
25,their
25,milkshake
25,especially
25,the
25,marie
25,regal
25,one
25,the
25,creaminess
25,to
25,the
25,fullest
25,dan
25,rasa
25,manisnya
25,tuh
25,pas
25,selain
25,itu
25,salmon
25,sambal
25,matah
25,mereka
25,juga
25,enak
25,banget
25,sayangnya
25,they
25,grilled
25,it
25,overcook
25,and
25,i
25,love
25,salmon
25,when
25,it’s
25,still
25,medium
25,rare
25,tapi
25,kesalahan
25,ada
25,di
25,aku
25,karna
25,ga
25,minta
25,tingkat
25,kematangan
25,but
25,they
25,should
25,ask
25,the
25,customer
25,about
25,it
25,first
25,i’ll
25,come
25,back
25,soon
25,after
25,covid
25,no
25,regrets
26,makanannya
26,enak
26,semuaa
27,makanan
27,1
27,king
27,prawn
27,aglio
27,olio
27,udang
27,besarnya
27,segar
27,dan
27,enak
27,untuk
27,spageti
27,agilo
27,olio
27,juga
27,enak
27,2
27,cheese
27,baked
27,beef
27,butter
27,rice
27,teksturnya
27,creamy
27,dan
27,ada
27,tambahan
27,sayur
27,brokoli
27,membuat
27,rasanya
27,lebih
27,gurih
27,minuman
27,1
27,strawberry
27,juice
27,rasa
27,buahnya
27,segar
27,2
27,mango
27,mint
27,rasanya
27,mangga
27,perpadu
27,dengan
27,rasa
27,lemon
27,dan
27,daun
27,mint
27,yang
27,diblend
27,jadi
27,satu
27,dan
27,membuat
27,rasanya
27,unik
27,recomended
27,suasana
27,datang
27,pada
27,malam
27,hari
27,di
27,hari
27,kerja
27,suasana
27,seperti
27,candlelight
27,dinner
27,dan
27,lumayan
27,ramai
27,direkomendasi
27,untuk
27,reservasi
27,terlebih
27,dahulu
27,untuk
27,tidak
27,menunggu
27,lama
27,parkir
27,tempat
27,parkir
27,tidak
27,terlalu
27,luas
27,dan
27,ada
27,petugas
27,parkir
27,yang
27,mengarahkan
28,weve
28,been
28,waiting
28,for
28,almost
28,1
28,hour
28,the
28,food
28,expensive
28,but
28,really
28,took
28,long
28,time
28,for
28,came
28,the
28,staff
28,only
28,have
28,2
28,girl
28,which
28,is
28,so
28,busy
28,and
28,did
28,not
28,tell
28,us
28,about
28,the
28,menu
28,this
28,restaurant
28,almost
28,the
28,most
28,expensive
28,one
28,in
28,bandung
28,but
28,the
28,experience
28,bad
28,at
28,all
28,better
28,go
28,to
28,another
28,restaurant
28,which
28,more
28,cheaper
28,and
28,have
28,good
28,staff
29,i
29,love
29,their
29,place
29,they
29,have
29,indoor
29,and
29,outdoor
29,seating
29,perfect
29,for
29,breakfast
29,or
29,brunch
29,will
29,be
29,back
29,to
29,try
29,their
29,other
29,menu
30,dine
30,in
30,di
30,masa
30,pandemi
30,miss
30,bee
30,cm
30,buka
30,bagian
30,outdoornya
30,aja
30,suasananya
30,enak
30,adem
30,better
30,reservasi
30,dulu
30,supaya
30,ga
30,nunggu
30,lama
30,krn
30,tmptnya
30,terbatas
30,makanan
30,yg
30,kita
30,pesan
30,crumbed
30,dory
30,fish
30,enak
30,dan
30,trio
30,sousage
30,biasa
30,aja
30,trus
30,liat
30,makanan
30,orang
30,yang
